,zip,x_bar,pop,frequency distribution midpoint
62,90077,SANzwei(SAN*zwei)   ocho(SAN**zwei)(SAN*zwei),"9,377","two hundred and five thousand, five hundred and forty-six"
63,90089,zwei(SAN*zwei)   V(SAN*zwei)quatre,"3,217",twelve thousand and seventy-six
64,90094,IIquatre   (SAN**zwei)ochoI,"5,464","seventy-five thousand, two hundred and twenty-one"
65,90201,quatreZEVEN   ISANquatre,"101,279","thirty-nine thousand, six hundred and eighteen"
66,90210,zweiV(SAN**zwei)   quatreVZERO,"21,741","one hundred and forty-three thousand, six hundred and sixty-seven"
67,90211,IIV   SANIZERO,"8,434 foo","seventy-nine thousand, two hundred and thirty-three"
68,90212,IzweiZERO   ZEVENZEROZERO,"11,555",seventy-four thousand and fifty-eight
69,90220,VSAN   quatre(SAN**zwei)ocho,"49,328",forty-four thousand and sixty-nine
70,90221,VI   quatreochoV,"53,704","forty-three thousand, two hundred and two"
71,90222,VZERO   IzweiZEVEN,"31,869","forty-one thousand, six hundred and sixty-seven"
72,0230 ? ?,ocho(SAN**zwei)   zweiVSAN,"31,766","seventy-four thousand, three hundred and forty-eight"
73,90232,ocho(SAN*zwei)   quatrequatreZEVEN,"15,149","sixty-seven thousand, one hundred and sixty-seven"
74,90240,ochoV   ZEVENquatreZERO,"25,876","seventy-three thousand, one hundred and ten"
75,90241,ZEVENI   ochoZEVENZEVEN,"42,399","sixty thousand, eight hundred and sixty-five"
76,90242,VV   (SAN**zwei)ZEROZERO,3.6919E4,"forty-eight thousand, six hundred and fifty-seven"
77,90245,IZEROV   Vzweiquatre,"16,595","eighty-nine thousand, one hundred and fifty-three"
78,90247,VZERO   ZEROquatre(SAN**zwei),"47,487","forty thousand, four hundred and fifty-eight"
79,90248,(SAN*zwei)(SAN**zwei)   ZEROocho(SAN**zwei),"9,947","fifty-four thousand, five hundred and fifty-four"
80,90249,(SAN*zwei)(SAN*zwei)   ochoI(SAN**zwei),"26,669","fifty-nine thousand, two hundred and ninety-three"
81,90250,Vocho   SANquatreZERO,"93,193","fifty thousand, four hundred and sixty-eight"
82,90254,ISANquatre   zweiZERO(SAN**zwei),"19,506","ninety-six thousand, eight hundred and ninety-six"
83,90255,quatreocho   IIzwei,"75,066","thirty-eight thousand, two hundred and fifty-nine"
84,0260 ? ?,(SAN*zwei)I   (SAN**zwei)ochoZERO,"34,924","fifty thousand, eight hundred and eighty-two"
85,90262,VI   (SAN**zwei)ZERO(SAN*zwei),6.9745E4,"forty-three thousand, eight hundred and sixty-one"
86,90263,Iochoocho   quatreSANI,"1,612","one hundred and thirty-one thousand, nine hundred and sixty-four"
87,90265,zweizweizwei   IZEVENI,"18,116","one hundred and twenty-six thousand, nine hundred and thirty-six"
88,90266,zweiZEROSAN   ocho(SAN**zwei)zwei,"35,135",one hundred and thirty-seven thousand and seventy-seven
89,90270,quatreZEVEN   quatreochoocho,"27,372","thirty-nine thousand, eight hundred and fifty-seven"
90,90272,zweiSANZEVEN   quatre(SAN*zwei)V,"22,818","one hundred and fifty thousand, four hundred and sixty-six"
91,90274,zweiSANSAN   VzweiZERO,"25,209","one hundred and fifty-three thousand, seven hundred and seventeen"
92,90275,IVSAN   quatreSANZERO,"41,804",one hundred and fourteen thousand and five
93,90277,IIzwei   ZEROochoV,"35,293","eighty-eight thousand, three hundred"
94,90278,II(SAN**zwei)   zweizweizwei,4.0071E4,"one hundred thousand, four hundred and twenty-two"
95,90280,Vzwei   ZEROIZEVEN,"94,396","forty-four thousand, four hundred and eighty-one"
96,0290 ? ?,IZEVENSAN   ocho(SAN*zwei)quatre,"6,363","one hundred and twenty-two thousand, eight hundred and eighty-five"
97,90291,IZERO(SAN*zwei)   SANSANZERO,"28,341",seventy-one thousand and thirty-five
98,90292,Izwei(SAN**zwei)   I(SAN**zwei)V,"21,576","ninety-seven thousand, eight hundred and five"
99,90293,IzweiV   V(SAN*zwei)I,"12,132",one hundred and four thousand and eighty-two
100,90301,quatre(SAN**zwei)   zweiSANZEVEN,"36,568","thirty-nine thousand, nine hundred and eighty-four"
101,90302,VV   quatreZEROV,"29,415","forty-two thousand, eight hundred and fifty-eight"
102,90303,Vzwei   (SAN**zwei)SANocho,"26,176",forty-four thousand and eighty-eight
103,90304,quatrequatre   ZEVENzweiSAN,2.8210E4,"thirty-six thousand, nine hundred and fifty-four"
104,90305,ZEVENSAN   ochoZEROquatre,"14,853","sixty thousand, three hundred and one"
105,90401,ZEVEN(SAN*zwei)   zweiochoocho,"6,722","forty-five thousand, eight hundred and fifty-four"
106,90402,zweiquatre(SAN**zwei)   (SAN**zwei)ZEVENocho,"12,250",one hundred and forty-four thousand and forty-seven
107,90403,IIZERO   IZEROSAN,"24,525","seventy-four thousand, two hundred and thirteen"
108,0404 ? ?,ZEVENzwei   quatreocho(SAN*zwei),"21,360","fifty-six thousand, three hundred and eighteen"
109,90405,IZEROV   ochozweiV,"27,186","seventy-four thousand, five hundred and sixty-two"
110,90501,ZEVENSAN   SANVquatre,"43,180",sixty thousand and twenty-four
111,90502,ZEVENZEVEN   ZERO(SAN**zwei)ZEVEN,"18,010","sixty-five thousand, six hundred and seventy-six"
112,90503,(SAN**zwei)SAN   ZEROZEROzwei,4.4383E4,"seventy-nine thousand, nine hundred and ninety-eight"
113,90504,ochoI   VZEVEN(SAN*zwei),"32,102","seventy thousand, one hundred and eighty-five"
114,90505,(SAN**zwei)quatre   zweiII,"36,678","seventy-six thousand, four hundred and sixty-one"
115,90601,ZEVEN(SAN**zwei)   (SAN*zwei)ZEVENV,"31,974","sixty-five thousand, eight hundred and ninety-nine"
116,90602,ZEVENZERO   IZEVENZERO,"25,777","fifty-six thousand, five hundred and seventy-two"
117,90603,(SAN**zwei)(SAN*zwei)   ochoZEROzwei,"20,063","eighty-seven thousand, two hundred and forty-four"
118,90604,ZEVENV   quatreZEVENI,"39,407","sixty-nine thousand, six hundred and forty-six"
119,90605,ochoZERO   I(SAN*zwei)ocho,"40,331","seventy-one thousand, three hundred and twenty-three"
120,0606 ? ?,(SAN*zwei)ZEVEN   SAN(SAN**zwei)quatre,"32,396","fifty-six thousand, six hundred and forty-three"
121,90620,ZEVENZEVEN   ZERO(SAN**zwei)zwei,4.5113E4,"sixty-seven thousand, five hundred and ninety-six"
122,90621,ZEVENI   SANV(SAN**zwei),"35,153","fifty-five thousand, four hundred and ten"
123,90623,IZEROZERO   ZEROZEROquatre,"15,554","eighty-five thousand, one hundred and seventy-four"
124,90630,(SAN**zwei)(SAN*zwei)   VquatreZERO,"47,993","eighty-three thousand, seven hundred and sixty"
125,90631,ochoV   SANquatreocho,"67,619","sixty-nine thousand, eight hundred and sixty-nine"
126,90638,(SAN**zwei)I   quatreIquatre,"49,012","seventy-eight thousand, three hundred and one"
127,90640,Vocho   ZEROVV,"59,566",forty-seven thousand and thirteen
128,90650,(SAN*zwei)(SAN**zwei)   IZEROocho,"105,549",sixty-one thousand and thirty-six
129,90660,(SAN*zwei)quatre   VZEROzwei,"62,928","fifty-seven thousand, two hundred and sixteen"
130,90670,(SAN*zwei)ZEVEN   IVI,1.4844E4,"fifty-eight thousand, five hundred and eighty"
131,90680,(SAN*zwei)V   ZEROzweiV,"29,945","fifty-one thousand, five hundred and thirty-seven"
132,0701 ? ?,ZEVENZERO   zweiZERO(SAN*zwei),"16,591","fifty-seven thousand, four hundred and four"
133,90703,IZEROquatre   (SAN*zwei)(SAN*zwei)V,"49,399","ninety-one thousand, two hundred and sixteen"
134,90704,(SAN*zwei)V   (SAN*zwei)II,"4,090","forty-nine thousand, three hundred and fourteen"
135,90706,(SAN*zwei)I   ochozweiSAN,"76,615","fifty-two thousand, four hundred and eight"
136,90710,ZEVENI   ocho(SAN*zwei)(SAN*zwei),"25,457","sixty-one thousand, seven hundred and seventy-six"
137,90712,ochoV   (SAN*zwei)(SAN**zwei)(SAN*zwei),"31,499","seventy-nine thousand, four hundred and seventy-five"
138,90713,(SAN**zwei)ZERO   Vzwei(SAN**zwei),"27,925",eighty-four thousand and forty-seven
139,90715,ZEVENocho   SANZEROV,2.0388E4,"sixty-seven thousand, three hundred and eighty-seven"
140,90716,V(SAN**zwei)   (SAN*zwei)(SAN*zwei)ocho,"14,184","fifty-four thousand, nine hundred and twenty-nine"
141,90717,ZEVEN(SAN*zwei)   SAN(SAN**zwei)ZERO,"21,318","sixty-three thousand, nine hundred and forty-five"
142,90720,IIzwei   ZEVENZEROZERO,"21,751","ninety-one thousand, three hundred and seventy-one"
143,90723,quatre(SAN**zwei)   quatreochozwei,"54,099","forty-one thousand, nine hundred and sixty"
144,0731 ? ?,(SAN*zwei)I   ZEROquatreI,"59,662",forty-nine thousand and six
145,90732,(SAN**zwei)(SAN*zwei)   (SAN**zwei)ochoV,"21,115","eighty-one thousand, six hundred and eight"
146,90740,(SAN**zwei)SAN   ochoVSAN,"23,729","seventy-six thousand, three hundred and seventy-nine"
147,90742,III   ZEROzweiZERO,831,"seventy thousand, nine hundred and ten"
148,90743,IZEROocho   ochoZEVENV,456 foo,"seventy thousand, three hundred and eighty"
149,90744,VI   zweiochoZERO,"53,584","forty-one thousand, nine hundred and seventy-seven"
150,90745,ZEVENZEVEN   (SAN**zwei)ocho(SAN**zwei),"57,251",sixty-eight thousand and fifty-eight
151,90746,ochoZEVEN   quatreV(SAN*zwei),"25,990","seventy-five thousand, one hundred and thirty-eight"
152,90755,ochoZEVEN   ZEVENquatre(SAN*zwei),"11,074","seventy-five thousand, three hundred and ninety-seven"
153,90802,Vquatre   I(SAN*zwei)ZERO,"39,296","forty-two thousand, five hundred and sixty-five"
154,90803,IZEROquatre   (SAN*zwei)(SAN**zwei)ZEVEN,"32,031","seventy-two thousand, two hundred and eighty-seven"
155,90804,VZERO   ocho(SAN*zwei)(SAN*zwei),"39,349","forty-one thousand, three hundred and forty"
156,0805 ? ?,VV   VochoSAN,"93,524","forty-six thousand, five hundred and seventeen"
157,90806,Vzwei   (SAN**zwei)ochoquatre,4.2399E4,forty-two thousand and thirty-six
158,90807,ocho(SAN**zwei)   IzweiSAN,"31,481","sixty-six thousand, six hundred and forty-nine"
159,90808,IZEROquatre   (SAN*zwei)zweiquatre,"38,232","eighty-nine thousand, four hundred and twelve"
160,90810,(SAN*zwei)SAN   Vochozwei,"36,727","fifty-two thousand, three hundred and eighty-five"
161,90813,SANZEVEN   (SAN*zwei)ZEROV,"56,379","twenty-eight thousand, eight hundred and six"
162,90814,ocho(SAN*zwei)   VSAN(SAN*zwei),"19,131","sixty-four thousand, four hundred and forty"
163,90815,ochoquatre   ZERO(SAN*zwei)(SAN**zwei),"34,554","seventy-one thousand, two hundred and eighty-one"
164,91001,IZEROocho   (SAN**zwei)ochoZEVEN,"36,126","eighty-three thousand, eight hundred and fifty-nine"
165,91006,IzweiZERO   quatrezweiSAN,"31,715",ninety-four thousand and eighty-five
