,zip,x_bar,pop,frequency distribution midpoint
265,91737,IzweiV   ZEROSAN(SAN**zwei),2.4740E4,"ninety-eight thousand, two hundred and fifteen"
266,91739,IIocho   quatreZEVENV,"34,794","one hundred thousand, nine hundred and seventeen"
267,91740,ZEVEN(SAN**zwei)   (SAN**zwei)zweizwei,"25,356","sixty-nine thousand, seven hundred and twenty-six"
268,91741,IISAN   ZEVENV(SAN*zwei),"25,824","eighty-six thousand, eight hundred and forty-one"
269,91744,(SAN*zwei)quatre   Iquatrezwei,"85,040","fifty-six thousand, seven hundred and forty-seven"
270,91745,ocho(SAN*zwei)   (SAN**zwei)ochoSAN,"54,013","seventy-one thousand, two hundred and sixty-four"
271,91746,(SAN*zwei)(SAN**zwei)   quatreV(SAN**zwei),"30,485","fifty-seven thousand, seven hundred and five"
272,91748,ochozwei   V(SAN**zwei)quatre,"45,406",sixty-nine thousand and ninety-three
273,91750,(SAN**zwei)I   (SAN**zwei)VZERO,"33,249","eighty-two thousand, eight hundred and forty-five"
274,91752,ocho(SAN*zwei)   IzweiSAN,3.0047E4,"seventy thousand, nine hundred and sixty-four"
275,91754,ZEVENI   (SAN**zwei)(SAN**zwei)zwei,"32,742",fifty-six thousand and twenty-six
276,1755 ? ?,(SAN*zwei)quatre   quatreochoZEVEN,"27,496",fifty-one thousand and eighty-two
277,91759,ISANZEVEN   ZEVENZEVENocho,476,"eighty-three thousand, one hundred and eighty-five"
278,91761,ZEVENSAN   ocho(SAN*zwei)(SAN**zwei),"56,913","sixty-seven thousand, five hundred and fourteen"
279,91762,(SAN*zwei)ocho   ZEROzweiZEVEN,"55,857","fifty-five thousand, nine hundred and seventy-nine"
280,91763,(SAN*zwei)SAN   (SAN*zwei)quatrezwei,"36,375","fifty-two thousand, four hundred and fifty-eight"
281,91764,Vocho   VochoZERO,"54,086","fifty-one thousand, four hundred and sixty-nine"
282,91765,IZEROzwei   ochoIV,"46,457","eighty-nine thousand, two hundred and eighty-eight"
283,91766,(SAN*zwei)ZERO   ocho(SAN*zwei)ZERO,7.1599E4,"fifty-two thousand, four hundred and forty-six"
284,91767,(SAN*zwei)ZERO   SAN(SAN*zwei)quatre,"48,068","fifty-one thousand, five hundred and eighty-three"
285,91768,Vquatre   ochoochoZEVEN,"34,148","fifty-two thousand, two hundred and sixty-two"
286,91770,(SAN*zwei)zwei   (SAN*zwei)ZEROzwei,"62,097","forty-nine thousand, one hundred and ninety-one"
287,91773,ocho(SAN**zwei)   ZEVENquatreZEVEN,"33,119","seventy-six thousand, three hundred and ninety-seven"
288,1775 ? ?,(SAN**zwei)ZEVEN   (SAN**zwei)quatreZEVEN,"23,988","eighty-three thousand, six hundred and thirty"
289,91776,(SAN*zwei)V   (SAN**zwei)zweiZERO,"38,475","fifty-three thousand, four hundred and eighty-seven"
290,91780,ochoZERO   (SAN**zwei)ZERO(SAN**zwei),"34,332","sixty-eight thousand, seven hundred and thirty-eight"
291,91784,Izweizwei   (SAN*zwei)ZEROI,"25,938","one hundred and two thousand, four hundred and forty-four"
292,91786,(SAN*zwei)ZEVEN   SANZEVEN(SAN**zwei),5.1165E4,"fifty-eight thousand, three hundred and eighty-eight"
293,91789,IZEROI   (SAN*zwei)quatrezwei,"40,554","ninety thousand, two hundred and forty-eight"
294,91790,ZEVEN(SAN**zwei)   VZEROSAN,"44,907",seventy-one thousand and thirty-four
295,91791,(SAN**zwei)I   SANzweiocho,"32,414","seventy-four thousand, eight hundred and eighty-two"
296,91792,ZEVEN(SAN*zwei)   zweizweiI,"30,854","sixty-six thousand, five hundred and ninety-six"
297,91801,(SAN*zwei)SAN   Vocho(SAN*zwei),"52,735","fifty thousand, one hundred and eleven"
298,91803,ZEVENI   (SAN**zwei)ZEVENquatre,"30,322","fifty-seven thousand, nine hundred and ninety-seven"
299,91901,IZEROZEVEN   quatreVquatre,"17,403","seventy-nine thousand, two hundred and fifty-one"
300,1902 ? ?,(SAN**zwei)V   VSANzwei,"17,653","seventy-nine thousand, three hundred and ninety-eight"
301,91905,(SAN*zwei)quatre   ZEVENZEVENSAN,"1,700 foo","fifty-four thousand, two hundred and fifty-eight"
302,91906,(SAN*zwei)quatre   ZEVENZEVENSAN,"3,627","fifty-four thousand, two hundred and fifty-eight"
303,91910,(SAN*zwei)(SAN**zwei)   (SAN*zwei)VI,"75,802","fifty-eight thousand, three hundred and forty-six"
304,91911,(SAN*zwei)zwei   IquatreSAN,"82,999","fifty-three thousand, one hundred and ninety-one"
305,91913,(SAN**zwei)zwei   V(SAN**zwei)V,"40,971","eighty-six thousand, five hundred and thirty-three"
306,91914,IIV   (SAN*zwei)IZERO,"15,448","ninety-seven thousand, five hundred and seventy-four"
307,91915,IZERO(SAN*zwei)   zweiochoZEVEN,"24,659","ninety-eight thousand, six hundred and twenty-five"
308,91916,ZEVENSAN   ZEVENochoSAN,"1,622",sixty-six thousand and sixty-seven
309,91917,(SAN**zwei)zwei   ochoochoocho,992,"seventy-two thousand, eight hundred and forty-six"
310,91931,ZEVENI   ZEROV(SAN**zwei),592 foo,"sixty-two thousand, six hundred and fourteen"
311,91932,VV   ocho(SAN**zwei)ocho,"25,718","forty-five thousand, five hundred and ninety"
312,1934 ? ?,(SAN*zwei)SAN   SANquatreV,737,"fifty-three thousand, three hundred and forty-four"
313,91935,II(SAN*zwei)   (SAN**zwei)ochoZERO,"8,624","one hundred and three thousand, five hundred and ninety-eight"
314,91941,ochoocho   VquatreZEVEN,"31,779",seventy-two thousand and seventy-three
315,91942,(SAN*zwei)SAN   (SAN**zwei)quatreI,"38,069","fifty-one thousand, one hundred and sixty-two"
316,91945,(SAN*zwei)zwei   ZEVENIquatre,"25,460","fifty-five thousand, six hundred and sixty-three"
317,91948,(SAN*zwei)zwei   ISANzwei,78,"fifty-one thousand, two hundred and sixty-two"
318,91950,quatreZEVEN   SAN(SAN*zwei)V,"60,322","thirty-seven thousand, one hundred and eighty-one"
319,91962,(SAN*zwei)zwei   ZEROII,"1,646 foo","fifty-one thousand, one hundred and twenty-five"
320,91963,(SAN*zwei)quatre   ZEVENZEVENSAN,"1,118","fifty-four thousand, two hundred and fifty-eight"
321,91977,ZEVENzwei   ocho(SAN*zwei)I,"58,368",sixty-two thousand and sixty
322,91978,ZEVENocho   ZEROzweiquatre,"8,896","seventy-three thousand, eight hundred and nine"
323,91980,(SAN*zwei)quatre   ZEVENZEVENSAN,165,"fifty-four thousand, two hundred and fifty-eight"
324,2003 ? ?,IZEROzwei   ochoZEVENSAN,"4,746","seventy thousand, eight hundred and ninety-one"
325,92004,VI   ZERO(SAN**zwei)quatre,"3,881","forty-five thousand, four hundred and eighty-nine"
326,92007,III   (SAN**zwei)(SAN**zwei)V,"10,429","eighty-six thousand, five hundred and eighty-five"
327,92008,ochozwei   ZEROZEROocho,"27,649","sixty-six thousand, two hundred and seventy-six"
328,92009,Izwei(SAN**zwei)   (SAN*zwei)VV,4.0747E4,"one hundred and two thousand, eight hundred and twenty-three"
329,92010,(SAN**zwei)(SAN**zwei)   (SAN**zwei)ISAN,"14,382","eighty-four thousand, nine hundred and seventy-seven"
330,92011,Izweizwei   (SAN**zwei)ZERO(SAN**zwei),"22,405","ninety-four thousand, three hundred and twenty"
331,92014,Iochoocho   ochoZEVENocho,"13,154","one hundred and twenty-eight thousand, one hundred and fifty-five"
332,92019,(SAN**zwei)I   ochoSAN(SAN**zwei),"42,598","seventy-five thousand, two hundred and twenty-four"
333,92020,(SAN*zwei)ocho   Iochoocho,"57,767","fifty-four thousand, five hundred and thirty-five"
334,92021,(SAN*zwei)SAN   Izweiocho,"65,068","fifty-three thousand, seven hundred and eighty-seven"
335,92024,IIocho   zweiSANV,"49,121","eighty-six thousand, eight hundred and eighty-nine"
336,2025 ? ?,(SAN*zwei)quatre   (SAN*zwei)ocho(SAN**zwei),"49,978","fifty-one thousand, eight hundred and seven"
337,92026,ZEVENV   zwei(SAN**zwei)ZEVEN,4.8922E4,"sixty-one thousand, four hundred and nine"
338,92027,ZEVENV   quatreSANV,"53,881","sixty-two thousand, six hundred and fifty-one"
339,92028,ochoquatre   ZEVENIZEVEN,"46,239","sixty-five thousand, six hundred and thirty-five"
340,92029,IZERO(SAN*zwei)   quatreZERO(SAN**zwei),"19,021","eighty thousand, five hundred and twenty-three"
341,92036,ZEVENzwei   ZEROZEROZERO,"3,440","sixty thousand, two hundred and forty-eight"
342,92037,ISANI   ZEROochoocho,"46,781","ninety-four thousand, five hundred and twenty-eight"
343,92040,ZEVENocho   quatreZERO(SAN*zwei),"41,281","sixty-six thousand, six hundred and seventy-one"
344,92054,(SAN*zwei)ZEVEN   (SAN*zwei)SANzwei,"40,375","fifty-three thousand, six hundred and thirty-four"
345,92055,VI   ZEROZEROSAN,"15,655",forty-six thousand and eighty-eight
346,92056,ZEVENocho   quatre(SAN**zwei)SAN,5.1835E4,"sixty-eight thousand, six hundred and forty-three"
347,92057,ochoI   VzweiZEVEN,"54,096","sixty-nine thousand, seven hundred and thirty-five"
348,2058 ? ?,(SAN*zwei)ZERO   (SAN*zwei)ochoI,"42,436","fifty-three thousand, two hundred and eighty-seven"
349,92059,ZEVENocho   Vzweiquatre,"1,618","seventy-three thousand, eight hundred and ten"
350,92060,(SAN*zwei)ZERO   ZERO(SAN*zwei)ZERO,218,"forty-one thousand, five hundred and thirty-two"
351,92061,ocho(SAN*zwei)   ZEVENZEROSAN,"2,499","seventy-five thousand, six hundred and ninety-seven"
352,92064,Izweizwei   (SAN**zwei)ochoquatre,"47,904","one hundred and two thousand, nine hundred and ninety-four"
353,92065,(SAN**zwei)quatre   zweiSANZEVEN,"35,414",eighty-one thousand and forty-four
354,92066,(SAN*zwei)ZERO   ZERO(SAN*zwei)ZERO,378,"forty-one thousand, five hundred and thirty-two"
355,92067,zweiquatreI   ZEVENII,"9,535 foo","one hundred and thirty-two thousand, six hundred and forty-seven"
356,92069,ZEVENSAN   zweizweiquatre,"46,369","sixty-one thousand, nine hundred and eighty-five"
357,92070,(SAN*zwei)quatre   (SAN*zwei)ZEROV,"1,245","forty-seven thousand, six hundred and eighty-six"
358,92071,ZEVENocho   Iochoquatre,"53,422","seventy thousand, two hundred and one"
359,92075,IzweiI   SANquatreZERO,"12,056",ninety thousand and sixty-three
360,2078 ? ?,(SAN**zwei)zwei   VSANZEVEN,"42,906","sixty-nine thousand, six hundred and nineteen"
361,92081,ZEVENZEVEN   SANV(SAN**zwei),"27,404","sixty-two thousand, six hundred and sixty-six"
362,92082,IZEROSAN   VVZEVEN,"19,037","seventy-eight thousand, six hundred and sixty-seven"
363,92083,(SAN*zwei)(SAN*zwei)   SANV(SAN**zwei),"36,975",fifty-five thousand and thirty-one
364,92084,(SAN*zwei)(SAN**zwei)   ZEROquatreSAN,4.7654E4,"fifty-five thousand, three hundred and fifty-two"
365,92086,(SAN*zwei)ZERO   ZEROquatreSAN,"1,573","forty-one thousand, five hundred and forty"
366,92091,I(SAN**zwei)V   (SAN**zwei)ZEROquatre,"1,048","one hundred and thirty thousand, one hundred and three"
367,92101,(SAN*zwei)quatre   ochoVSAN,"32,507","thirty-nine thousand, one hundred and two"
368,92102,quatre(SAN**zwei)   ocho(SAN**zwei)SAN,"43,103","thirty-nine thousand, seven hundred and twenty-six"
369,92103,ochoV   ZEROVI,"31,046","sixty thousand, six hundred and seventy"
370,92104,(SAN*zwei)ZERO   (SAN**zwei)zweiSAN,"44,413","forty-eight thousand, two hundred and eighty-three"
371,92105,quatre(SAN*zwei)   Iquatrequatre,"69,813",thirty-seven thousand and seventy-eight
372,2106 ? ?,IZERO(SAN*zwei)   quatreVZEVEN,"19,330","eighty-seven thousand, two hundred and fifty-seven"
373,92107,ochoSAN   IzweiI,2.8651E4,"sixty-five thousand, seven hundred and thirty"
374,92108,ZEVENquatre   VochoV,"18,858","sixty-three thousand, eight hundred and eighty-five"
375,92109,ochoquatre   IquatreZERO,"45,787","sixty-five thousand, seven hundred and sixty-seven"
376,92110,ZEVENI   ochoquatreSAN,"25,341","fifty-six thousand, nine hundred and sixty-three"
377,92111,(SAN*zwei)(SAN*zwei)   ochoochoZERO,"45,096","fifty-four thousand, three hundred and eighty-seven"
378,92113,SANSAN   ochoZEROquatre,"45,459","twenty-four thousand, four hundred and thirty-two"
379,92114,(SAN*zwei)(SAN*zwei)   IochoZEVEN,"65,433","fifty-six thousand, eight hundred and seventy-seven"
380,92115,VV   quatreSANzwei,"58,560","forty-four thousand, three hundred and eighty-one"
381,92116,(SAN*zwei)V   (SAN*zwei)quatrequatre,"31,680","fifty thousand, nine hundred and ninety-three"
382,92117,ZEVEN(SAN*zwei)   ochoVocho,5.1332E4,"sixty-three thousand, eight hundred and seven"
383,92118,ochoZEVEN   Vquatrezwei,"23,575","ninety-seven thousand, eight hundred and two"
384,2119 ? ?,ochoquatre   ZERO(SAN*zwei)ocho,"23,057","seventy-two thousand, eight hundred and seventy-one"
385,92120,(SAN**zwei)zwei   zweiII,"26,317","seventy-seven thousand, five hundred and eighty-nine"
386,92121,II(SAN**zwei)   Iochozwei,"4,179","one hundred and five thousand, three hundred and sixty-eight"
387,92122,(SAN**zwei)I   (SAN*zwei)Iquatre,"43,728","seventy-one thousand, four hundred and twenty-seven"
388,92123,ZEVEN(SAN**zwei)   ZEROIZEVEN,"26,823","sixty-nine thousand, eight hundred and five"
389,92124,ochoV   (SAN**zwei)ocho(SAN*zwei),"30,443","seventy-five thousand, five hundred and sixty-nine"
390,92126,ochoocho   zweiquatreV,"73,343","eighty-one thousand, one hundred and sixty-nine"
391,92127,ISANzwei   zweiquatreZEVEN,3.9337E4,"one hundred and eight thousand, five hundred and four"
392,92128,IZEROocho   ISANI,"47,490","ninety thousand, four hundred and ninety-two"
393,92129,IzweiZERO   ZEVENzweiocho,"51,536","one hundred and seven thousand, six hundred and fifty-four"
394,92130,IV(SAN**zwei)   ochoII,"48,940","one hundred and twenty-seven thousand, seven hundred and sixty"
395,92131,IquatreSAN   ZEROquatre(SAN**zwei),"32,787",one hundred and twenty-seven thousand and ten
396,2135 ? ?,.,571,"one hundred and twenty-seven thousand, six hundred and thirty-nine"
397,92139,ZEVENZERO   ochoIocho,"35,125",sixty thousand and twenty-three
398,92145,I(SAN**zwei)ocho   (SAN**zwei)ZEVENZEVEN,"1,449","one hundred and sixty-five thousand, seven hundred and sixty-four"
399,92147,ZEVENocho   quatreochoZEVEN,559,"sixty-three thousand, three hundred"
400,92154,(SAN*zwei)zwei   (SAN*zwei)(SAN**zwei)SAN,7.5611E4,"fifty-five thousand, two hundred and three"
401,92155,IZEROZEVEN   ZEROquatre(SAN*zwei),550,"sixty-one thousand, four hundred and seventy-seven"
402,92173,quatreocho   quatreZEROzwei,"29,429","thirty-eight thousand, seven hundred and sixty-two"
403,92201,VZEVEN   ochoSANI,"61,827","forty-six thousand, nine hundred and fifty-one"
404,92203,ochoocho   ZERO(SAN*zwei)SAN,"25,605","seventy-eight thousand, three hundred and eighteen"
405,92210,IZEVENI   VSAN(SAN*zwei),"4,677",one hundred and seven thousand and twenty-three
406,92211,(SAN**zwei)V   quatreSANzwei,"24,294","sixty-seven thousand, nine hundred and forty-six"
407,92220,VI   SANocho(SAN*zwei),"31,638","forty thousand, three hundred and ninety-five"
408,2222 ? ?,SANzwei   quatre(SAN*zwei)I,45,twenty-four thousand and fifty
409,92223,ZEVENzwei   (SAN*zwei)(SAN**zwei)I,4.3605E4,"sixty-three thousand, one hundred and seventy-two"
410,92225,SANocho   (SAN**zwei)ZEROzwei,"16,676","twenty-eight thousand, seven hundred and eighty"
411,92227,Vocho   (SAN**zwei)SANV,"26,219",forty-four thousand and twenty-eight
412,92230,ZEVEN(SAN*zwei)   zweiZEVENquatre,"2,550","thirty-six thousand, seven hundred and ninety-five"
413,92231,Vzwei   ZERO(SAN*zwei)zwei,"39,073","forty thousand, five hundred and nine"
414,92233,zweizwei   ZEVENquatrezwei,"3,802","sixteen thousand, four hundred and seventy-nine"
415,92234,(SAN*zwei)I   ZEVENocho(SAN**zwei),"51,151","forty-eight thousand, seven hundred and eighty-four"
416,92236,VI   IIZERO,"41,083","forty-four thousand, five hundred and seventy-two"
417,92239,VSAN   ZEVENZEROI,223,"forty-one thousand, seven hundred and twenty-four"
418,92240,quatreV   I(SAN**zwei)quatre,3.4722E4,"thirty-seven thousand, six hundred and forty-five"
419,92241,quatre(SAN**zwei)   (SAN*zwei)quatre(SAN*zwei),"8,803","forty thousand, one hundred and seventy-three"
420,2242 ? ?,quatreSAN   ocho(SAN*zwei)zwei,"1,539","twenty-eight thousand, six hundred and thirty-two"
421,92243,VZEVEN   ZEVENochoZEVEN,"48,030","forty-five thousand, eight hundred and ninety-four"
422,92249,VV   (SAN*zwei)SAN(SAN**zwei),"7,334","forty-five thousand, seven hundred and sixteen"
423,92250,VZEVEN   quatre(SAN**zwei)(SAN**zwei),"8,285","thirty-nine thousand, one hundred and seventy-seven"
424,92251,(SAN*zwei)ZERO   ZEROZERO(SAN**zwei),"21,583","forty-six thousand, seven hundred and seventy-nine"
425,92252,VI   quatrequatre(SAN**zwei),"9,647",forty thousand and fifty-nine
426,92253,IZEROZEVEN   ZEROZEVENV,"37,262","seventy-three thousand, five hundred and thirteen"
427,92254,SANV   quatrezweiV,1.2768E4,"twenty-six thousand, eight hundred and five"
428,92256,quatreocho   ZEROochoI,"3,588","forty-one thousand, five hundred and thirty-five"
429,92257,SANV   SANzweiocho,"2,037",twenty-six thousand and fifty-five
430,92258,quatreZEVEN   VZEROSAN,861,"thirty-seven thousand, five hundred and fifty-six"
431,92259,SAN(SAN**zwei)   Vochoocho,390,"thirty thousand, six hundred and eighty-two"
432,2260 ? ?,ochozwei   zwei(SAN*zwei)I,"31,753","fifty-four thousand, three hundred and forty-four"
433,92262,(SAN*zwei)ocho   SAN(SAN**zwei)(SAN**zwei),"26,179","forty-three thousand, eight hundred and ninety"
434,92264,ZEVENzwei   VIquatre,"19,383",forty-seven thousand and fifty
435,92266,zweiocho   ZEVENochoZERO,234,"twenty-two thousand, one hundred and sixty-nine"
436,92267,SANocho   quatreZEVENzwei,126 foo,"thirty thousand, three hundred and two"
437,92268,SAN(SAN**zwei)   ZEROzweiocho,574,"twenty-five thousand, four hundred and eighty"
438,92270,IzweiV   IochoSAN,"17,220","seventy thousand, five hundred and three"
439,92273,VSAN   IZEROV,"1,823","thirty-nine thousand, nine hundred and seventy-nine"
440,92274,quatreV   (SAN**zwei)ZEROI,"19,801","thirty-two thousand, two hundred and seventy-four"
441,92275,SANocho   zweiquatreV,"1,506","thirty thousand, four hundred and sixty-six"
442,92276,quatre(SAN**zwei)   (SAN*zwei)(SAN**zwei)I,"7,585","forty-one thousand, nine hundred and fifty"
443,92277,Vzwei   zweizweiquatre,"23,911","forty-three thousand, six hundred and thirty-two"
444,2278 ? ?,VZERO   SANzweiI,"3,846","forty-four thousand, two hundred and sixty-five"
445,92280,SANocho   quatreZEVENzwei,14 foo,"thirty thousand, three hundred and two"
446,92281,SAN(SAN**zwei)   SANVquatre,"2,432","twenty-nine thousand, three hundred and ninety-one"
447,92282,VZEVEN   ZEROSANZERO,"1,239",forty-two thousand and ninety-two
448,92283,SANzwei   zweiochoV,"3,158","twenty-three thousand, nine hundred and sixty"
449,92284,VV   (SAN*zwei)zwei(SAN*zwei),"25,095","forty-two thousand, five hundred and ninety-one"
450,92285,quatreI   ZEVENzweiZEVEN,"2,632","twenty-five thousand, five hundred and one"
451,92301,quatreZEVEN   ocho(SAN**zwei)ocho,"32,725",forty-three thousand and seventy-eight
452,92304,quatrequatre   ZEVEN(SAN*zwei)(SAN*zwei),17,"thirty-nine thousand, one hundred and seventy-seven"
453,92305,ocho(SAN*zwei)   ZEROZEVENI,535,"sixty-eight thousand, six hundred and fifty"
454,92307,(SAN*zwei)ocho   quatreSAN(SAN**zwei),3.7630E4,"fifty-seven thousand, six hundred and fifty-four"
455,92308,(SAN*zwei)ZERO   (SAN**zwei)VV,"39,837","fifty thousand, nine hundred and seventy-four"
456,2309 ? ?,quatreSAN   zweiZEROI,763,"thirty-seven thousand, three hundred and seventy-one"
457,92310,V(SAN*zwei)   zweiochoV,"8,845","fifty-one thousand, seven hundred and twenty-nine"
458,92311,V(SAN*zwei)   quatrezweiocho,"31,894","forty-eight thousand, three hundred and eighty-seven"
459,92313,ZEVENSAN   IVzwei,"12,025","fifty-nine thousand, one hundred and ninety-eight"
460,92314,VI   (SAN**zwei)ZEVENocho,"10,162","forty-two thousand, one hundred and ninety-five"
461,92315,(SAN*zwei)quatre   SANochoV,"5,094","thirty-two thousand, one hundred and seven"
462,92316,Vocho   VSANV,"30,830","forty-eight thousand, eight hundred and ninety-five"
463,92320,(SAN*zwei)V   ZEROquatreZEVEN,"7,788 foo","fifty-four thousand, five hundred and six"
464,92321,ocho(SAN*zwei)   quatreochoZERO,"1,522","sixty-eight thousand, one hundred and ninety-one"
465,92322,(SAN*zwei)SAN   SANquatre(SAN*zwei),"1,257","fifty-one thousand, six hundred and twenty-two"
466,92324,VV   SAN(SAN*zwei)zwei,"55,806","forty-seven thousand, two hundred and thirteen"
467,92325,(SAN*zwei)ZEVEN   SANquatreV,"9,391","fifty-eight thousand, nine hundred and fifty-two"
468,2327 ? ?,VSAN   quatreZERO(SAN**zwei),632,"forty thousand, nine hundred and thirty"
469,92328,VZERO   (SAN**zwei)ocho(SAN**zwei),445,"thirty-eight thousand, nine hundred and eighty-three"
470,92332,quatreSAN   ZEROVV,65,"thirty-seven thousand, one hundred and fifty-three"
471,92333,Vquatre   (SAN*zwei)quatreV,472,"forty-three thousand, one hundred and ninety-nine"
472,92335,V(SAN*zwei)   zweiZEVENZEVEN,9.5397E4,"forty-six thousand, two hundred and seven"
473,92336,ochoocho   ZEVENSAN(SAN**zwei),"88,419","eighty-one thousand, six hundred and eight"
474,92337,ZEVEN(SAN*zwei)   zwei(SAN**zwei)V,"37,849","sixty-nine thousand, three hundred and ninety-six"
475,92338,quatreSAN   zweiZEROI,12,"thirty-seven thousand, three hundred and seventy-one"
476,92339,ocho(SAN*zwei)   ZEROZEVENI,885,"sixty-eight thousand, six hundred and fifty"
477,92341,(SAN*zwei)quatre   (SAN*zwei)ZERO(SAN*zwei),410,"forty-eight thousand, eight hundred and seventeen"
478,92342,(SAN*zwei)quatre   ZEVENZEROSAN,"6,379","fifty-two thousand, six hundred and seventy"
479,92344,ZEVEN(SAN**zwei)   ZEROI(SAN**zwei),"20,769",sixty-six thousand and eighty-four
480,2345 ? ?,Vocho   quatreZEVENSAN,"78,715","forty-eight thousand, three hundred and seven"
481,92346,ZEVENocho   zwei(SAN*zwei)ocho,5.3410E4,"sixty-nine thousand, three hundred and sixty-one"
482,92347,(SAN*zwei)ocho   ZEROzwei(SAN*zwei),"1,692","fifty-one thousand, seven hundred and fifty-six"
483,92352,(SAN**zwei)ZERO   zweiVquatre,"8,004","sixty-one thousand, two hundred and ninety-five"
484,92354,ZEVENSAN   ZEVEN(SAN**zwei)quatre,"21,559","sixty-one thousand, six hundred and twenty-six"
485,92356,quatre(SAN**zwei)   ZEROIV,"6,455","thirty-nine thousand, five hundred and fifty-four"
486,92358,Iquatre(SAN*zwei)   SANI(SAN**zwei),707,eighty-five thousand
487,92359,(SAN*zwei)(SAN*zwei)   (SAN**zwei)quatreSAN,"8,103","fifty-four thousand, one hundred and ninety-eight"
488,92363,quatreocho   IzweiSAN,"5,321","thirty-one thousand, eight hundred"
489,92364,quatreSAN   zweiZEROI,90,"thirty-seven thousand, three hundred and seventy-one"
490,92365,quatreSAN   zweiZEROI,"2,637 foo","thirty-seven thousand, three hundred and seventy-one"
491,92368,VZERO   zwei(SAN**zwei)ZERO,"1,113","twenty-six thousand, two hundred and ninety-seven"
492,2371 ? ?,(SAN*zwei)(SAN*zwei)   ZEVENquatreSAN,"16,763","fifty-four thousand, one hundred and eighty-four"
493,92372,V(SAN**zwei)   ZEROVV,"6,220","thirty-two thousand, nine hundred and three"
494,92373,(SAN**zwei)(SAN*zwei)   (SAN**zwei)VZERO,"33,423","seventy-seven thousand, four hundred and three"
495,92374,ZEVENquatre   quatreochoV,"40,267","sixty-five thousand, three hundred and ninety"
496,92376,V(SAN*zwei)   I(SAN*zwei)zwei,"81,516","forty-seven thousand, eight hundred and eighty-nine"
497,92377,ochoSAN   quatrequatre(SAN**zwei),"19,989","eighty thousand, six hundred and fifty-seven"
498,92378,ochoZERO   ZEROzweiV,183,"forty-eight thousand, one hundred and twenty-five"
499,92382,ZEVENI   ZEVENIZEVEN,"5,268 foo","sixty thousand, five hundred and twenty-one"
500,92384,VZERO   (SAN**zwei)ocho(SAN**zwei),36,"thirty-eight thousand, nine hundred and eighty-three"
501,92385,ochoZERO   ZEROzweiV,313,"forty-eight thousand, one hundred and twenty-five"
502,92386,quatrezwei   ZERO(SAN*zwei)SAN,"2,270","thirty-two thousand, four hundred and fifty-eight"
503,92389,VZERO   (SAN**zwei)ocho(SAN**zwei),156,"thirty-eight thousand, nine hundred and eighty-three"
504,2391 ? ?,ochoZEVEN   I(SAN**zwei)(SAN**zwei),"2,534","fifty-four thousand, three hundred and forty-eight"
505,92392,(SAN*zwei)(SAN**zwei)   (SAN*zwei)quatrequatre,"54,858","sixty-three thousand, five hundred and sixty-seven"
506,92394,Vquatre   IVV,"28,738","forty-five thousand, two hundred and sixty-six"
507,92395,Vquatre   ZEROVSAN,"42,400","forty-three thousand, nine hundred and eighty-one"
508,92397,ochoocho   IZEVENV,"4,894 foo",eighty-two thousand and eighty
509,92398,(SAN*zwei)(SAN*zwei)   ZEROocho(SAN*zwei),"1,379","fifty-five thousand, one hundred and twenty-three"
510,92399,ZEVENV   ZEVENVocho,"52,606","sixty-four thousand, six hundred and twenty-eight"
511,92401,zweiZEVEN   V(SAN*zwei)ZERO,"1,932","eighteen thousand, six hundred and fifty-six"
512,92404,quatreocho   (SAN*zwei)(SAN*zwei)ZEVEN,"58,271",forty thousand and nine
513,92405,quatre(SAN**zwei)   ZEVENI(SAN**zwei),"28,873","forty thousand, five hundred and seventy-nine"
514,92407,(SAN*zwei)V   ZEROSANV,"56,689","fifty-six thousand, eight hundred and five"
515,92408,quatre(SAN*zwei)   I(SAN**zwei)zwei,"14,297","thirty-six thousand, three hundred and forty-six"
516,2410 ? ?,SAN(SAN*zwei)   zwei(SAN**zwei)(SAN**zwei),"47,466","thirty thousand, five hundred and forty-four"
517,92411,quatreI   VquatreI,2.6214E4,"thirty-four thousand, two hundred and forty-nine"
518,92501,(SAN*zwei)I   I(SAN*zwei)(SAN*zwei),"20,970","forty-eight thousand, three hundred and nineteen"
519,92503,ZEVENI   SANZEROV,"84,519","sixty-two thousand, three hundred and ninety"
520,92504,ZEVENZERO   (SAN*zwei)(SAN**zwei)quatre,"53,778","fifty-five thousand, five hundred and forty-four"
521,92505,(SAN*zwei)ZEVEN   (SAN*zwei)VZERO,"47,672","fifty-six thousand, seven hundred and fifty"
522,92506,IZEROI   SANSANZEVEN,"43,994","eighty-four thousand, two hundred and seventy-three"
523,92507,VI   zweiquatrezwei,"58,000","forty-three thousand, six hundred and fifty-four"
524,92508,IZEROI   quatre(SAN**zwei)ocho,"35,000","ninety thousand, six hundred and twenty-nine"
525,92509,(SAN*zwei)quatre   ochoSANZEVEN,"75,196","fifty-six thousand, five hundred and seven"
526,92518,Vquatre   quatreSANV,"1,162 foo","forty-five thousand, nine hundred and nine"
527,92530,(SAN*zwei)V   IochoZERO,"50,216","fifty-three thousand, two hundred and eighty-eight"
528,2532 ? ?,ochoquatre   ZEVENSANZERO,"18,644","seventy-seven thousand, six hundred and fifty-nine"
529,92536,ZEVENSAN   V(SAN**zwei)I,"3,810","fifty-six thousand, five hundred and five"
